FREQ,START,STOP,CIRAF ZONES,LOCCODE,POWR,AZIMUTH,SLEW,ANTCODE,DAYS,SDATE,EDATE,MOD,AFRQ,LANGUAGECODE,ADMINCODE,BROADCASTERCODE,FMOCODE
2485,1000,1900,"56,51",PVL,10,0,0,400,1234567,301022,260323,D,2485,Bis,VUT,VBT,RNZ
3195,600,1000,"4,9,27,37-39",WCR,100,46,0,902,1234567,130323,260323,D,,Eng,USA,WCR,FCC
3195,600,1000,"4,9,27,37-39",WCR,100,46,0,902,1234567,301022,71122,D,,Eng,USA,WCR,FCC
3195,600,1000,"4,9,27,37-39",WCR,100,46,0,902,1234567,71122,130323,D,,Eng,USA,WCR,FCC
3195,2100,100,"4,9,27,37-39",WCR,100,46,0,902,1234567,301022,71122,D,,Eng,USA,WCR,FCC
3195,2100,100,"4,9,27,37-39",WCR,100,46,0,902,1234567,130323,260323,D,,Eng,USA,WCR,FCC
3215,2100,1100,"4,9,27,37-39",WCR,100,46,0,902,1234567,130323,260323,D,,Eng,USA,WCR,FCC
3215,2100,1100,"4,9,27,37-39",WCR,100,46,0,902,1234567,301022,71122,D,,Eng,USA,WCR,FCC
3215,2100,1200,"4,9,27,37-39",WCR,100,46,0,902,1234567,71122,130323,D,,Eng,USA,WCR,FCC
3265,0,2400,"3-5,9-11",BCQ,50,245,0,805,1234567,301022,250323,D,,Eng,USA,BCQ,FCC
3325,1700,600,54E,PGA,40,0,0,700,1234567,301022,250323,D,,Eng,INS,RRI,RRI
3900,900,1440,33S,HLR,10,242,0,141,1234567,301022,260323,D,4500,Zho,CHN,CNR,RTC
3900,2130,700,33S,HLR,10,242,0,141,1234567,301022,260323,D,4500,Zho,CHN,CNR,RTC
3915,2200,2400,"43SE,44SW,49E",SNG,250,0,20,345,1234567,301022,260323,D,3950,Eng,SNG,BBC,ENC
3930,0,2400,28,SOF,20,0,0,925,1234567,301022,260323,D,3900,Eng,BUL,TOM,SPC
3945,700,1000,"56,51",PVL,10,0,0,400,1234567,301022,260323,D,3945,Bis,VUT,VBT,RNZ
3945,1900,2400,"56,51",PVL,10,0,0,400,1234567,301022,260323,D,3945,Bis,VUT,VBT,RNZ
3950,1208,1800,42N,URU,100,0,0,925,1234567,301022,260323,D,3950,Zho,CHN,CNR,RTC
3950,2330,300,42N,URU,100,0,0,925,1234567,301022,260323,D,3950,Zho,CHN,CNR,RTC
3955,559,700,"27SE,28NW",WOF,100,114,0,100,1234567,140223,260323,N,3975,Eng,G,BBC,ENC
3955,700,2000,"18,27,28",ROB,25,0,0,700,1234567,301022,260323,D,3955,Deu,D,C29,FNA
3955,2000,2100,28NW,WOF,250,114,0,100,1234567,140223,260323,D,3975,Deu,G,KBS,ENC
3955,2100,2200,27SE,WOF,250,114,0,100,1234567,140223,260323,D,3975,Fra,G,KBS,ENC
3955,2200,459,"18,27,28",ROB,25,0,0,700,1234567,301022,260323,D,3955,Deu,D,C29,FNA
3960,2200,2400,"43SE,44SW,49E",SNG,250,0,20,345,1234567,301022,260323,D,3950,Eng,SNG,BBC,ENC
3965,100,57,27,ISS,10,0,0,925,1234567,301022,250323,N,4950,Fra,F,TDF,TDF
