CODE,SITE,ADM,LAT,LONG
A-A,Alma Ata,KAZ,43N17,7.70E+01
AAR,Alphen aan den Rijn,HOL,52N08,4.00E+38
ABG,Abu Ghraib (Bagdadh),IRQ,33N19,4.40E+16
ABH,Abu Hayan,BHR,26N02,5.00E+38
ABJ,Abidjan,CTI,05N21,003W57
ABS,Abis,EGY,31N10,3.00E+06
ABU,Abu Dhabi,UAE,24N23,5.40E+18
ABZ,Abu zaabal,EGY,30N16,3.10E+23
ACC,Accra,GHA,05N31,000W10
ACH,Achkabad,TKM,37N57,5.80E+24
ADD,Addis Ababa,ETH,08N58,3.80E+44
ADH,Alpes d Huez,F,45N09,6.00E+01
ADR,Adra,SYR,33N27,3.60E+31
AGT,"Agat, Guam",USA,13N20,1.44E+41
AHW,Ahwaz,IRN,31N20,4.80E+41
AIA,Anguilla,G,18N13,063W01
AIJ,"Denton, TX",USA,33N13,096W52
AIZ,Aizawl,IND,23N43,9.20E+44
AKA,Al Karanah,JOR,31N44,3.60E+27
ALF,Al-Fatihab,SDN,15N30,3.20E+29
ALG,Aligarh,IND,28N00,7.80E+07
ALH,Al Hiswah,YEM,12N50,4.50E+03
ALI,Alice Springs,AUS,23S42,1.33E+55
ALK,Al khaisah,QAT,25N25,5.10E+26
ALO,Alotau,PNG,10S18,1.50E+30
AMB,Ambon,INS,03S42,1.28E+07
AMM,Amman,JOR,31N57,3.50E+57
APA,Aparecida,B,23S00,045W00
ARA,Arauca,CLM,07N04,070W41
ARM,Armavir,RUS,45N00,4.00E+50
ARQ,Arequipa,PRU,16S25,071W32
ASC,Ascension,G,07S54,014W23
ASU,Asuncion,PRG,25S19,057W29
ATG,Antigua,ATG,17N06,061W48
AUR,Auros,F,44N30,000W09
AVL,Avlis,GRC,38N23,2.30E+37
AVO,Avoriaz Morzine,F,46N11,6.00E+46
B-A,Banda Aceh,INS,05N30,9.50E+23
BAB,Babel,IRQ,32N30,4.40E+31
BAC,Babice,POL,52N15,2.00E+51
BAF,Bafoussam,CME,05N28,1.00E+25
BAI,Bairiki,KIR,01N21,1.72E+58
BAK,Baku,AZE,40N24,4.90E+46
BAN,Bangkok,THA,13N47,1.00E+32
BAO,Baoding,CHN,38N39,1.15E+46
BAT,Bata,GNE,01N48,9.00E+46
BAY,Bayenhaote,CHN,38N58,1.05E+37
BBY,Bombay,IND,19N11,7.20E+50
BCL,Borculo,HOL,52N06,6.00E+32
BCQ,"Monticello, ME",USA,46N20,067W50
BDD,Bandundu,COD,03S18,1.70E+22
BDG,Bandung,INS,06S53,1.07E+39
BDN,Bandjarmasin,INS,03S22,1.14E+42
BEC,Bechar,ALG,31N34,002W21
BEI,Beijing,CHN,39N57,1.16E+29
BEL,Belo Horizonte,B,19S54,043W54
BEN,Benkule,INS,02S44,1.02E+20
BEO,Beograd,SRB,44N34,2.00E+10
BER,Bertoua,CME,04N34,1.30E+44
BGA,Benguela,AGL,12S35,1.30E+26
BGL,Bangalore,IND,13N14,7.70E+14
BGZ,Benghazi,LBY,32N08,2.00E+05
BHO,Bhopal,IND,23N10,7.70E+39
BI,Bichkek,KGZ,42N54,7.40E+38
BIA,Biak,INS,01S00,1.35E+32
BIB,Biblis,D,49N41,8.00E+29
BIJ,Bijeljina,BIH,44N41,1.90E+10
BJI,Baoji,CHN,34N30,1.07E+12
BKA,Buka,PNG,05S25,1.54E+42
BKO,Bamako,MLI,12N39,008W01
BLA,Blantyre,MWI,15S42,3.50E+03
BLG,Blagovechtchen,RUS,50N16,1.27E+32
BLN,Berlin (Deutschlandradio),D,52N30,1.30E+21
BNG,Bangui,CAF,04N21,1.80E+36
BOA,Boa Vista,B,02N51,060W43
BOC,Bocaue,PHL,14N48,1.20E+57
BOG,Bogota,CLM,04N36,074W04
BOH,Newport,USA,34N47,076W56
BON,Bonaire,HOL,12N12,068W18
BOT,Moepeng Hill,BOT,21S57,2.70E+40
BOU,Bouchaoui,ALG,36N44,2.00E+53
BR,Brest,BLR,52N20,2.30E+36
BRA,Brasilia,B,15S51,047W56
BRE,Bremen (RB/SFB),D,53N05,8.00E+50
BRG,Bramming,DNK,55N29,8.00E+39
BRI,Brisbane,AUS,27S19,1.53E+03
BRN,Brandon,AUS,19S31,1.47E+22
BRT,Beirut,LBN,33N53,3.50E+31
BRZ,Brazzaville,COG,04S15,1.50E+19
BUD,Budapest,HNG,47N28,1.90E+04
BUE,Buenos Aires,ARG,34S36,058W22
BUK,Bukittinggi,INS,00S18,1.00E+24
BWW,"Lebanon, TN",USA,36N17,086W06
BY,"Bethany, OH",USA,39N21,084W21
CAB,Camboriu,B,27S02,048W39
CAC,Cachoeira Paulista,B,22S39,045W01
CAH,Changchun,CHN,43N48,1.25E+25
CAK,Cakirlar,TUR,39N58,3.20E+41
CAL,Calcutta,IND,22N27,8.80E+19
CAM,Campo Grande,B,20S24,054W35
CAN,Cantho,VTN,10N05,1.05E+48
CAR,Carnarvon,AUS,24S54,1.13E+45
CCH,Chile Chico,CHL,46S33,071W42
CDA,Cape Daguliar,CHN,22N13,1.14E+17
CDM,Cd. Mante,MEX,22N44,098W56
CDU,Chengdu,CHN,30N42,1.04E+02
CER,Cerrik,ALB,41N00,2.00E+01
CGY,"Calgary, AB",CAN,50N54,113W52
CHA,"Cahuita, Costa Rica",CTR,09N45,082W54
CHC,ChunCheon,KOR,37N56,1.27E+48
CHE,Chengde,CHN,40N58,1.17E+37
CHI,Chihuahua,MEX,28N34,106W02
CHT,Chatel,F,46N14,6.00E+50
CK2,Xuanmai,VTN,20N43,1.05E+35
CLM,Calama,CHL,22S30,068W55
CLS,Caltanissetta,I,37N30,1.40E+05
CLZ,Calabozo,VEN,10N30,066W52
CNI,Chennai,IND,13N08,8.00E+08
COA,Cochabamba,BOL,17S20,066W20
COC,Concepcion CHL,CHL,37S03,073W10
COI,Coihaique,CHL,45S30,072W06
COL,Colombo,CLN,06N54,7.90E+49
COM,Comores,COM,11S42,4.30E+16
CON,Conakry,GUI,09N32,013W40
COP,Concepcion PRG,PRG,23S24,057W27
COT,Cotonou,BEN,06N21,2.00E+25
COY,Coyhaique,CHL,45S24,072W43
CRI,Cariari,CTR,10N00,083W30
CUR,Curitiba,B,25S23,049W10
CUZ,Cuzco,PRU,13S30,072W00
CYP,Limassol,CYP,34N43,3.30E+20
CZB,Clusaz Balme,F,45N53,6.00E+24
CZJ,Clusaz Jument,F,45N54,6.00E+28
DAK,Dakar,SEN,14N39,017W26
DAL,Daclac,VTN,12N41,1.08E+05
DAR,Darwin,AUS,12S25,1.36E+39
DAT,Datteln,D,51N39,7.00E+20
DB,Duchanbe,TJK,38N40,6.80E+51
DBA,Dubai,UAE,25N14,5.50E+17
DEA,Deanovec,HRV,45N41,1.60E+28
DEL,Delhi,IND,28N43,7.70E+13
DEN,Denpasar,INS,08S45,1.15E+17
DES,Dar-es-Salaam,TZA,06S50,3.90E+15
DHA,Dhabayya,UAE,24N11,5.40E+15
DIL,Dili,POR,08S33,1.25E+37
DIO,Diosd,HNG,47N25,1.80E+58
DIR,Diriyya,ARS,24N39,4.60E+38
DJI,Djibouti,DJI,11N35,4.30E+06
DKA,Dhaka,BGD,23N43,9.00E+27
DL,"Delano, CA",USA,35N45,119W10
DOF,Dongfang,CHN,18N54,1.08E+41
DOL,Dole,TZA,06S05,3.90E+15
DON,Dondo,MOZ,18S49,3.40E+53
DOU,Douala,CME,04N04,9.00E+41
DOV,Doves,LBN,33N20,3.50E+31
DRU,Daru,PNG,09S05,1.43E+12
DRW,"Darwin, NT",AUS,12S25,1.30E+40
DUB,"Dublin, Ireland",IRL,53N21,006W16
EJU,Ejura,GHA,07N23,001W22
EKA,Ekala,CLN,07N06,7.90E+55
EKB,Ekaterinburg,RUS,56N50,6.00E+37
ELB,Elburg,HOL,52N26,5.00E+52
EMR,Emirler,TUR,39N29,3.20E+52
ENN,Encarnacion,PRG,27S21,055W52
ERL,Erlangen,D,49N33,1.10E+02
ERV,Erevan,ARM,40N10,4.40E+31
EWN,"Vandiver, AL",USA,33N30,086W28
FAK,Fakfak,INS,02S55,1.32E+19
FBS,"Marpi, Saipan",USA,15N16,1.45E+50
FIG,Foz do Iguacu,B,25S31,054W30
FIL,Filadelfia,PRG,22S18,060W10
FLE,Flevo,HOL,52N21,5.00E+27
FLI,"Forli, Italy",I,44N13,1.20E+04
FLO,Florianopolis,B,27S35,048W31
FOR,Fortaleza,B,03S46,038W41
FRE,Frederikstad,NOR,59N11,1.00E+59
FUK,Fukuoka,J,33N33,1.30E+29
FUZ,Fuzhou,CHN,26N06,1.19E+26
GA,"Greenville, NC (Site A)",USA,35N42,077W09
GAB,Moyabi,GAB,01S40,1.30E+32
GAL,Galbeni,ROU,46N44,2.60E+51
GAR,Garoua,CME,09N18,1.30E+26
GAU,Gauhati,IND,26N11,9.10E+51
GB,"Greenville, NC (Site B)",USA,35N28,077W12
GBN,Gaborone,BOT,24S34,2.50E+59
GDB,Gd. Bornand,F,45N56,6.00E+26
GDR,Gedja Dera,ETH,08N46,3.80E+41
GEI,"Redwood City, CA",USA,37N33,122W14
GEM,Geermu,CHN,36N24,9.40E+60
GJA,Guaruj,B,23S59,046W15
GJW,Gedja Jewe,ETH,08N47,3.80E+40
GIT,Gitega,BDI,03S29,2.90E+57
GIY,Guiyang,CHN,26N25,1.06E+38
GKP,Gorakhpur,IND,23N52,8.30E+29
GOD,Goderich,SRL,08N30,013W14
GOH,Goehren,D,53N32,1.10E+37
GOI,Goiania,B,16S43,049W18
GR,"Greenville, NC",USA,35N35,077W22
GRA,Granja Pavon,GTM,14N34,090W31
GRW,Garowe,SOM,08N24,4.80E+29
GTG,"McCaysville, GA",USA,34N58,084W22
GTK,Gangtok,IND,27N22,8.80E+38
GUA,Guatemala,GTM,14N30,090W20
GUF,Montsinery,F,04N54,052W36
GUW,Guwahati,IND,26N11,9.10E+51
GWE,Gweru,ZWE,19S26,2.90E+52
GYM,Guayaramerin,BOL,10S49,065W21
HAB,La Habana,CUB,23N00,082W30
HAN,Hanoi,VTN,20N59,1.05E+54
HAR,Hargeysa,SOM,09N33,4.40E+04
HB,Horby,S,55N49,1.30E+45
HBA,Ha Bac,VTN,21N16,1.06E+14
HBN,Rep. of Palau,USA,07N21,1.34E+33
HCN,Ho Chi Minh V,VTN,10N51,1.06E+40
HEE,Heerde,HOL,52N40,6.00E+03
HER,Hermosillo,MEX,29N04,110W55
HEZ,Hezuo,CHN,35N06,1.02E+56
HFX,"Halifax, NS",CAN,44N41,063W40
HIL,Hilleroed,DNK,55N53,1.20E+17
HIR,Heroshima,J,34N22,1.32E+28
HLR,Hailar,CHN,49N02,1.19E+47
HOL,Holzkirchen,D,47N52,1.10E+45
HON,Honiara,SLM,09S25,1.60E+05
HRA,"Greenbush, ME",USA,45N08,068W34
HRB,Harbin,CHN,45N49,1.26E+54
HRI,"Furman, SC",USA,32N41,081W08
HSB,Ha Son Binh,VTN,21N20,1.05E+47
HST,Hartenstein Saxony,D,50N40,1.20E+42
HSW,"Noblesville, IN",USA,40N01,085W57
HUA,Huancayo,PRU,12S05,075W10
HUE,Hue,VTN,16N25,1.07E+42
HUH,Huhhot,CHN,41N12,1.11E+32
HUN,Huanuni,BOL,18S47,066W48
HVI,Hvidovre,DNK,55N36,1.20E+29
HWA,HwaSung,KOR,37N13,1.26E+49
HYD,Hyderabad,IND,17N20,7.80E+34
IAK,Iakutsk,RUS,62N01,1.29E+50
IBA,Iba,PHL,15N20,1.19E+60
IBI,Ibitinga,B,21S43,048W47
IBN,Ibadan,NIG,07N23,3.00E+54
ICN,Overslag,HOL,51N12,3.00E+53
IKO,Ikorodu,NIG,07N23,3.00E+56
IMF,"Beowawe, NV",USA,40N36,116W36
IMP,Imphal,IND,24N37,9.30E+55
INB,"Red Lion, PA",USA,39N54,076W35
IPE,"Alpine, NJ",USA,40N52,073W55
IQI,Iquitos,PRU,03S45,073W12
IRA,Iranawila,CLN,07N32,7.90E+31
IRK,Irkutsk,RUS,52N18,1.04E+20
ISL,Islamabad,PAK,33N27,7.30E+13
ISM,Ismaning (BR),D,48N15,1.10E+46
ISR,Jerusalem,ISR,32N04,3.40E+48
ISS,Issoudun,F,46N57,1.00E+59
ITA,Itanagar,IND,27N04,9.30E+37
IUJ,Iujnsakhalinsry,RUS,46N55,1.43E+12
IVF,Ivanofrankovsk,UKR,48N56,2.40E+49
JAA,JangAn,KOR,37N02,1.26E+53
JAI,Jaipur,IND,26N54,7.50E+46
JAK,Djakarta,INS,06S12,1.06E+53
JAM,Jammu,IND,32N45,7.50E+01
JAR,Jarji,NIG,10N45,7.00E+33
JAY,Jayapura,INS,02S35,1.40E+42
JBR,Jaszbereny,HNG,47N35,1.90E+53
JCR,"Millerstown, KY",USA,37N26,086W02
JED,Jeddah,ARS,21N32,3.90E+11
JES,"Vado, NM",USA,32N08,106W35
JEY,Jeypore,IND,18N55,8.20E+35
JHR,"Milton, FL",USA,30N39,087W05
JIE,"Millerstown, KY",USA,37N26,086W02
JIG,Jigulevsk,RUS,53N26,4.90E+31
JIN,Jinhua,CHN,28N07,1.19E+41
JMB,Jambi,INS,01S38,1.03E+36
JUL,Juelich,D,50N57,6.00E+22
JUN,Junglinster,LUX,49N40,6.00E+19
K-S,Kyung San,KOR,35N54,1.28E+51
K/A,Komsomolsk Amur,RUS,50N30,1.37E+07
KAB,Kabul,AFG,35N00,6.90E+01
KAC,Karachi,PAK,24N55,6.70E+01
KAJ,Kajang,MLA,03N01,1.01E+48
KAL,Kalatch,RUS,50N26,4.00E+41
KAM,Kamalabad,IRN,35N46,5.10E+28
KAR,Kara,TGO,09N35,1.00E+09
KAS,Kashi,CHN,39N30,7.60E+01
KAT,Kathmandu,NPL,27N42,8.50E+13
KAV,Kavalla,GRC,40N52,2.40E+51
KAW,Tokyo Kawagu,J,35N50,1.39E+45
KAZ,Kazan,RUS,55N47,4.90E+09
KBD,KABD,KWT,29N16,4.70E+54
KCH,Kichinev,MDA,47N00,2.80E+31
KDI,Kendari,INS,03S38,1.25E+28
KEN,Kenga,RUS,57N25,8.00E+57
KGA,Kananga,COD,05S53,2.20E+26
KGS,Kinghisepp,RUS,59N27,2.80E+44
KHB,Khabarovsk,RUS,48N33,1.35E+17
KHR,Kharkov,UKR,50N00,3.60E+18
KIG,Kigali,RRW,01S53,3.00E+05
KIM,Kimjae,KOR,35N50,1.26E+52
KIN,Kinshasa,COD,04S23,1.50E+24
KIS,Kisangani,COD,00N30,2.50E+12
KKT,Kolkata,IND,22N27,8.80E+19
KLG,Kaliningrad,RUS,54N42,2.00E+31
KLL,Kall,D,50N28,6.00E+31
KLZ,Klazienaveen,HOL,52N44,6.00E+59
KMO,Kamo,ARM,40N21,4.50E+08
KMP,Kampala,UGA,00N20,3.20E+37
KNG,Kanggye,KRE,40N58,1.26E+38
KNX,Kununurra WA,AUS,15S48,1.28E+43
KOH,Kohima,IND,25N39,9.40E+07
KOM,Koma Rock,KEN,01S16,3.70E+10
KON,Konevo,RUS,60N12,3.60E+54
KRA,Kranji (SIMCOM),SNG,01N25,1.03E+45
KRP,Karup,DNK,56N15,9.00E+04
KRS,Krasnoiarsk,RUS,56N01,9.20E+55
KS,Kaunas,LTU,54N55,2.40E+01
KSG,Kurseong,IND,26N55,8.80E+20
KTH,Katherine,AUS,14S28,1.32E+18
KUJ,Kujang,KRE,40N05,1.25E+07
KUM,Kumamoto,J,32N15,1.30E+46
KUN,Kunming,CHN,25N10,1.02E+52
KUP,Kupang,INS,10S10,1.23E+32
KUR,Kursk,RUS,51N46,3.60E+13
KV,Kiev,UKR,50N27,3.00E+14
KVG,Kavieng,PNG,02S34,1.50E+49
KVI,Kvitsoy,NOR,59N04,5.00E+27
KWH,Konigs Wusterhausen,D,52N18,1.30E+38
KWT,Kuwait,KWT,29N31,4.70E+42
LAG,Lagos,NIG,06N34,3.00E+21
LAI,Laitse,EST,59N11,2.40E+24
LAM,Lampertheim,D,49N36,8.00E+33
LAN,Lanzhou,CHN,36N02,1.03E+52
LAR,Les Arcs,F,45N33,6.00E+30
LAW,Lae,PNG,06S40,1.46E+56
LDA,Les Deux Alpes,F,44N59,6.00E+10
LDR,Lodwar,KEN,03N07,3.50E+37
LEH,Leh,IND,34N08,7.70E+30
LRG,Lorengau,PNG,02S02,1.43E+19
LGS,Les Gets,F,46N10,6.00E+40
LHA,Lhasa,CHN,29N30,9.00E+60
LIB,Libreville,GAB,00N25,9.00E+26
LIM,Lima,PRU,12S06,077W03
LIN,Lingshi,CHN,36N52,1.11E+42
LIS,Lisbon-Sao Gabriel,POR,38N45,008W40
LIT,Litomysl,CZE,49N48,1.60E+11
LKW,Lucknow,IND,26N53,8.10E+04
LLA,Llallangua,BOL,18S37,067W34
LMS,Les Menuires,F,45N18,6.00E+31
LNR,Linares,MEX,24N50,099W34
LOB,Lobito,AGL,12S18,1.30E+37
LOJ,Loja,EQA,03S59,079W12
LON,Londrina,B,23S18,051W13
LOR,La Oroya,PRU,11S30,075W56
LPC,La Plagne Cham,F,45N27,6.00E+41
LPL,La Plagne Lac,F,45N33,6.00E+43
LPR,La Plagne Roch,F,45N33,6.00E+40
LPZ,La Paz,BOL,16S20,068W07
LSO,Lancers Gap,LSO,29S19,2.70E+33
LUB,Lubumbashi,COD,11S41,2.70E+33
LUS,Lusaka,ZMB,15S30,2.80E+16
LUV,Lusaka (Voice of Hope),ZMB,15S32,2.80E+01
LV,Lvov,UKR,49N50,2.40E+01
MAA,Marslet,DNK,56N06,1.00E+13
MAC,Macas,EQA,02S20,078W12
MAD,Madras,IND,13N08,8.00E+08
MAG,Magwa,KWT,29N10,4.80E+03
MAH,Mahina,F,17S00,149W00
MAK,Makta,UAE,24N21,5.40E+35
MAL,Malolos,PHL,14N52,1.20E+50
MAN,Manzini,SWZ,26S34,3.10E+60
MAP,Maputo,MOZ,25S57,3.20E+29
MAR,Marulas,PHL,14N41,1.20E+61
MAS,Mashhad,IRN,36N15,5.90E+34
MAT,Mataram,INS,08S09,1.15E+32
MAU,Mauritius,MAU,20S19,5.70E+32
MAX,Maxoqueira,POR,38N57,008W46
MBA,Mbandaka,COD,00N04,1.80E+18
MBO,Malabo,GNE,03N45,8.00E+47
MBU,Mbujimayi,COD,06S09,2.30E+36
MC,Monte Carlo,MCO,43N44,7.00E+26
MDC,Madagascar,MDG,18S48,4.70E+37
MDG,Madang,PNG,05S12,1.45E+48
MDO,Manado,INS,01N12,1.25E+28
MED,Medan,INS,03N35,9.80E+42
MEK,Mekele,ETH,13N32,3.90E+34
MEL,Melo,URG,32S26,054W13
MEN,Mendi,PNG,06S08,1.43E+41
MER,Merauke,INS,08S33,1.40E+29
MET,Metri,VTN,20N58,1.05E+41
MEX,Mexico City,MEX,19N16,099W03
MEY,Meyerton,AFS,26S35,2.80E+09
MGV,Megeve,F,45N51,6.00E+39
MIL,"Milano, Italy",I,45N27,9.00E+11
MIN,Minhsiung,CHN,23N29,1.20E+29
MIR,Miri,MLA,04N23,1.13E+41
MIT,Mitchurinsk,RUS,52N54,4.00E+12
MKI,Manokwari,INS,00S48,1.34E+02
MLA,Muehlacker (SDR),D,48N57,8.00E+51
MLK,"Bethel, PA",USA,40N29,076W17
MLT,Malta,MLT,35N50,1.40E+35
